label,precision,recall,f_score,true_sum,learning_rate,epoch,threshold
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,15,0.4
1,1.0,0.0,0.0,872.0,1e-05,15,0.4
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,15,0.5
1,1.0,0.0,0.0,872.0,1e-05,15,0.5
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,15,0.6
1,1.0,0.0,0.0,872.0,1e-05,15,0.6
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,15,0.7000000000000001
1,1.0,0.0,0.0,872.0,1e-05,15,0.7000000000000001
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,15,0.8
1,1.0,0.0,0.0,872.0,1e-05,15,0.8
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,15,0.9
1,1.0,0.0,0.0,872.0,1e-05,15,0.9
0,0.9812129395878588,0.9487397820163488,0.9647031660365378,35232.0,1e-05,16,0.1
1,0.11383709519136408,0.26605504587155965,0.15945017182130583,872.0,1e-05,16,0.1
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,16,0.2
1,1.0,0.0,0.0,872.0,1e-05,16,0.2
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,16,0.30000000000000004
1,1.0,0.0,0.0,872.0,1e-05,16,0.30000000000000004
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,16,0.4
1,1.0,0.0,0.0,872.0,1e-05,16,0.4
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,16,0.5
1,1.0,0.0,0.0,872.0,1e-05,16,0.5
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,16,0.6
1,1.0,0.0,0.0,872.0,1e-05,16,0.6
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,16,0.7000000000000001
1,1.0,0.0,0.0,872.0,1e-05,16,0.7000000000000001
0,0.9758475515178373,1.0,0.9877761579006392,35232.0,1e-05,16,0.8
1,1.0,0.0,0.0,872.0,1e-05,16,0.8
